Year,Month,State,Gross Statutory Allocation,Deduction,Exchange Gain,EMTL,Net Share of Ecology,VAT,Total Allocation
2023,October,YOBE,1649650776,0,740315956.6,65844509.23,0,71699001.98,1658498468
2023,October,ZAMFARA,1490569752,0,668924955.5,65336447.11,0,64784841.24,1623619756
2023,October,FCT-ABUJA,658338872.4,0,295443604.8,77972491.97,0,28613474.32,4007554101
2023,,ADAMAWA,1738520569,0,1747556640,92964916.63,0,104582316.3,2492640068
2023,,ANAMBRA,1747915718,0,1757000621,129925520.1,0,105147490.2,2993566491
2023,,BAUCHI,1984230231,0,1994543393,102902466.6,0,119363208.7,2723275666
2023,,BORNO,2344189407,0,2356373480,120259450.5,0,141016886.6,3218425995
2023,,EKITI,1176461610,0,1182576344,72563565.83,0,70771138.62,1886506497
2023,,ENUGU,1505349995,0,1513174147,93929542.8,0,90555724.24,2187947326
2023,,GOMBE,1031466868,0,1036827982,56131859.97,0,62048845.49,1552555065
2023,,JIGAWA,2119577754,0,2130594394,116372722.9,0,127505164.4,3234346703
2023,,KADUNA,2383665888,0,2396055142,139957579.7,0,143391630.9,3389808264
2023,,KATSINA,2889198391,0,2904215183,153018083.3,0,173802407.2,4125263849
2023,,LAGOS,2271714539,0,2283521920,388265439.3,0,136657093.8,15043311777
2023,,NASSARAWA,1189765450,0,1195949331,61436370.62,0,71571443.45,1505098601
2023,,OGUN,1571015888,0,1579181342,120808307,0,94505916.89,2605554280
2023,,OSUN,2032356211,0,2042919511,126965328.2,0,122258271.7,3234549298
2023,,OYO,2563658787,0,2576983566,179363160.4,0,154219270.6,5095415359
2023,,SOKOTO,2006305750,0,2016733651,102333757.6,0,120691182,2712235572
2023,,TARABA,1503732872,0,1511548619,69125795.56,0,90458444.71,2085728565
2023,,YOBE,1511871619,0,1519729668,71782952.82,0,90948038.61,1945761758
2023,,ZAMFARA,1366077074,0,1373177346,71258158.78,0,82177632.59,1942359821
2023,,FCT-ABUJA,603354280.4,0,606490252.5,82791908.18,0,36295335.99,3400349710
2023,,ADAMAWA,1458237132,0,89051722.21,1552119509,0,90310699.21,2044876328
2023,,ANAMBRA,1466117600,0,125873652.6,1560507327,0,90798747.81,2361758197
2023,,BAUCHI,1664333602,0,97815921.64,1771484621,0,103074546.7,2220136988
2023,,BORNO,1966260336,0,115217065.3,2092849620,0,121773298.7,2587198628
2023,,EKITI,986793043.7,0,69410384.1,1050323504,0,61113496.44,1531963974
2023,,ENUGU,1262658203,0,90738382.2,1343949066,0,78198218.08,1773523343
2023,,GOMBE,865174282.9,0,53086112.09,920874838.5,0,53581473.64,1189213166
2023,,JIGAWA,1777860464,0,111196104.2,1892320426,0,110105426.7,2605804605
2023,,KADUNA,1999372437,0,133940287.5,2128093502,0,123823978.2,2807195592
2023,,KATSINA,2423403237,0,146477708.1,2579423717,0,150084808.6,3302678528
2023,,LAGOS,1905469830,0,365617221.2,2028145377,0,118008456.2,12619198162
2023,,NASSARAWA,997952045.1,0,58312112.46,1062200931,0,61804589.27,1217671186
2023,,OGUN,1317737473,0,117725873.3,1402574379,0,81609355.57,2185499790
2023,,OSUN,1704700735,0,122663454.7,1814450620,0,105574540.6,2631264153
2023,,OYO,2150346969,0,170695229.9,2288787886,0,133174045.6,4707699079
2023,,SOKOTO,1682850116,0,97955881.87,1791193242,0,104221300.8,2204003387
2023,,TARABA,1261301792,0,66030576.61,1342505328,0,78114213.6,1512082026
2023,,YOBE,1268128415,0,68798711.58,1349771453,0,78536996.05,1565573365
2023,,ZAMFARA,1145838795,0,68059303.02,1219608738,0,70963425.98,1536177546
2023,,FCT-ABUJA,506081797.9,0,78770308.15,538663715.6,0,31342365.41,2850021326
2022,December,ANAMBRA,3228781596,0,33463930.55,120245251.4,0,97867365.8,1998070374
2022,December,BAUCHI,3665306047,0,37988183.27,93788125.71,0,111098826.9,1680148864
2022,December,BORNO,4330229162,0,44879619.03,107985212.3,0,131253263.4,2164861188
2022,December,EKITI,2173181210,0,22523414.15,67020922,0,65871138.71,1129776016
2022,December,ENUGU,2780709795,0,28819998.1,86631002.52,0,84285893.78,1341060818
2022,December,JIGAWA,3915322445,0,40579418.12,106292111.1,0,118677055.9,2002384943
2022,December,KADUNA,4403150831,0,45635398.14,127999628.9,0,133463586.9,2067506936
2022,December,KATSINA,5336979634,0,55313842.25,139173936.2,0,161768804.3,2570826445
